Raw Feature,Feature,Direction,Coefficient
numeric__oldpeak categorical__sex_1,Oldpeak x Sex = 1 (Male),Toward no heart disease,-0.5281279545884857
numeric__thalachh categorical__exang_1,Maximum Heart Rate x Exercise-Induced Angina = 1 (Yes),Toward no heart disease,-0.516422901018745
numeric__age categorical__restecg_1,Age x Resting ECG Result = 1 (ST-T wave abnormality),Toward no heart disease,-0.48081033033195525
categorical__cp_2 categorical__ca_1,Chest Pain Type = 2 (Non-anginal pain) x Number of Major Vessels = 1,Toward heart disease,0.47382703898503603
categorical__exang_1 categorical__slope_2,Exercise-Induced Angina = 1 (Yes) x ST Slope = 2 (Downsloping),Toward heart disease,0.4496616697800448
categorical__cp_2 categorical__fbs_1,Chest Pain Type = 2 (Non-anginal pain) x Fasting Blood Sugar = 1 (Fasting blood sugar > 120 mg/dl),Toward heart disease,0.43182950932940073
numeric__chol numeric__thalachh,Cholesterol x Maximum Heart Rate,Toward heart disease,0.38882016782162016
categorical__fbs_1 categorical__slope_2,Fasting Blood Sugar = 1 (Fasting blood sugar > 120 mg/dl) x ST Slope = 2 (Downsloping),Toward heart disease,0.3834171308459581
numeric__age categorical__cp_0,Age x Chest Pain Type = 0 (Typical angina),Toward no heart disease,-0.37321704431610714
categorical__cp_1 categorical__exang_1,Chest Pain Type = 1 (Atypical angina) x Exercise-Induced Angina = 1 (Yes),Toward heart disease,0.36635475934929096
categorical__fbs_0 categorical__exang_1,Fasting Blood Sugar = 0 (Fasting blood sugar <= 120 mg/dl) x Exercise-Induced Angina = 1 (Yes),Toward heart disease,0.3344279987289359
categorical__restecg_0 categorical__thal_3,Resting ECG Result = 0 (Normal) x Thalassemia Result = 3 (Reversible defect),Toward no heart disease,-0.32778958266122155
categorical__exang_0 categorical__ca_1,Exercise-Induced Angina = 0 (No) x Number of Major Vessels = 1,Toward no heart disease,-0.28334451543437134
numeric__chol categorical__fbs_0,Cholesterol x Fasting Blood Sugar = 0 (Fasting blood sugar <= 120 mg/dl),Toward heart disease,0.26922455112111987
numeric__chol categorical__exang_0,Cholesterol x Exercise-Induced Angina = 0 (No),Toward no heart disease,-0.24502099886169376
categorical__sex_0 categorical__fbs_1,Sex = 0 (Female) x Fasting Blood Sugar = 1 (Fasting blood sugar > 120 mg/dl),Toward no heart disease,-0.22556636867558422
categorical__restecg_1 categorical__thal_3,Resting ECG Result = 1 (ST-T wave abnormality) x Thalassemia Result = 3 (Reversible defect),Toward heart disease,0.184149431003978
numeric__age categorical__cp_1,Age x Chest Pain Type = 1 (Atypical angina),Toward heart disease,0.1558783260080967
numeric__age numeric__chol,Age x Cholesterol,Toward heart disease,0.15348880825815395
numeric__age categorical__restecg_2,Age x Resting ECG Result = 2 (Left ventricular hypertrophy),Toward no heart disease,-0.13346869341115017
numeric__chol categorical__fbs_1,Cholesterol x Fasting Blood Sugar = 1 (Fasting blood sugar > 120 mg/dl),Toward no heart disease,-0.09858205467815888
categorical__sex_0 categorical__ca_2,Sex = 0 (Female) x Number of Major Vessels = 2,Toward heart disease,0.09168147522290106
categorical__exang_1 categorical__thal_7,Exercise-Induced Angina = 1 (Yes) x Thalassemia Result = 7,Toward heart disease,0.08868931993397265
numeric__trestbps numeric__chol,Resting Blood Pressure x Cholesterol,Toward heart disease,0.08644313522046247
numeric__age numeric__trestbps,Age x Resting Blood Pressure,Toward no heart disease,-0.08563297526627528
numeric__thalachh categorical__fbs_0,Maximum Heart Rate x Fasting Blood Sugar = 0 (Fasting blood sugar <= 120 mg/dl),Toward no heart disease,-0.0606135876232559
categorical__sex_1 categorical__exang_0,Sex = 1 (Male) x Exercise-Induced Angina = 0 (No),Toward no heart disease,-0.055795943598637425
numeric__trestbps categorical__cp_0,Resting Blood Pressure x Chest Pain Type = 0 (Typical angina),Toward no heart disease,-0.03528501515186828
numeric__age categorical__exang_0,Age x Exercise-Induced Angina = 0 (No),Toward no heart disease,-0.019711224709226084
categorical__sex_0 categorical__fbs_0,Sex = 0 (Female) x Fasting Blood Sugar = 0 (Fasting blood sugar <= 120 mg/dl),Toward heart disease,0.005941267495655404
numeric__trestbps categorical__fbs_0,Resting Blood Pressure x Fasting Blood Sugar = 0 (Fasting blood sugar <= 120 mg/dl),Toward no heart disease,-0.0008808653164646563
categorical__restecg_1 categorical__slope_2,Resting ECG Result = 1 (ST-T wave abnormality) x ST Slope = 2 (Downsloping),Toward no heart disease,0.0
categorical__restecg_1 categorical__thal_6,Resting ECG Result = 1 (ST-T wave abnormality) x Thalassemia Result = 6,Toward no heart disease,0.0
categorical__fbs_1 categorical__thal_1,Fasting Blood Sugar = 1 (Fasting blood sugar > 120 mg/dl) x Thalassemia Result = 1 (Fixed defect),Toward no heart disease,0.0
categorical__restecg_1 categorical__slope_3,Resting ECG Result = 1 (ST-T wave abnormality) x ST Slope = 3,Toward no heart disease,0.0
categorical__restecg_2 categorical__thal_2,Resting ECG Result = 2 (Left ventricular hypertrophy) x Thalassemia Result = 2 (Normal),Toward no heart disease,0.0
categorical__restecg_1 categorical__ca_0,Resting ECG Result = 1 (ST-T wave abnormality) x Number of Major Vessels = 0,Toward no heart disease,0.0
categorical__restecg_2 categorical__thal_1,Resting ECG Result = 2 (Left ventricular hypertrophy) x Thalassemia Result = 1 (Fixed defect),Toward no heart disease,0.0
categorical__restecg_2 categorical__thal_6,Resting ECG Result = 2 (Left ventricular hypertrophy) x Thalassemia Result = 6,Toward no heart disease,0.0
categorical__restecg_0 categorical__slope_2,Resting ECG Result = 0 (Normal) x ST Slope = 2 (Downsloping),Toward no heart disease,0.0
categorical__restecg_0 categorical__thal_1,Resting ECG Result = 0 (Normal) x Thalassemia Result = 1 (Fixed defect),Toward no heart disease,0.0
categorical__restecg_1 categorical__ca_1,Resting ECG Result = 1 (ST-T wave abnormality) x Number of Major Vessels = 1,Toward no heart disease,0.0
categorical__restecg_0 categorical__thal_0,Resting ECG Result = 0 (Normal) x Thalassemia Result = 0 (Unknown),Toward no heart disease,0.0
categorical__exang_0 categorical__exang_1,Exercise-Induced Angina = 0 (No) x Exercise-Induced Angina = 1 (Yes),Toward no heart disease,0.0
categorical__restecg_0 categorical__restecg_1,Resting ECG Result = 0 (Normal) x Resting ECG Result = 1 (ST-T wave abnormality),Toward no heart disease,0.0
categorical__exang_0 categorical__slope_0,Exercise-Induced Angina = 0 (No) x ST Slope = 0 (Upsloping),Toward no heart disease,0.0
categorical__restecg_0 categorical__slope_3,Resting ECG Result = 0 (Normal) x ST Slope = 3,Toward no heart disease,0.0
categorical__exang_0 categorical__slope_1,Exercise-Induced Angina = 0 (No) x ST Slope = 1 (Flat),Toward no heart disease,0.0
categorical__fbs_1 categorical__thal_7,Fasting Blood Sugar = 1 (Fasting blood sugar > 120 mg/dl) x Thalassemia Result = 7,Toward no heart disease,0.0
